hospital_name,hospital_id,country,city,region,tasa_hf_historica,month,year,total_admissions,mortality_rate_30day,avg_length_of_stay_days,readmission_rate_30day,heart_failure_cases,mortality_rate_90day,mortality_rate_inhospital,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
Hospital General de México,H001,Mexico,Mexico City,Central Mexico,0.07137129109863673,5,2024,1205,2.27,5.01,12.81,92,3.81,1.81,8.74,5.96,18.32,7.18
Hospital Santo Tomás,H025,Panama,Panama City,Panama Province,0.07005494505494506,4,2024,1451,2.57,6.12,13.92,101,4.31,2.05,10.67,6.75,19.9,8.78
Hospital de Especialidades,H024,Ecuador,Guayaquil,Guayas Province,0.0701219512195122,8,2025,1329,3.48,6.59,16.41,77,5.84,2.77,11.49,9.14,23.46,9.45
Hospital Cayetano Heredia,H007,Peru,Lima,Lima Region,0.06945681211041853,1,2025,1136,2.92,5.98,13.95,79,4.9,2.33,10.43,7.67,19.95,8.57
Hospital San Juan de Dios,H018,Bolivia,La Paz,La Paz Department,0.06844106463878327,7,2024,807,4.62,7.73,18.9,62,7.76,3.68,13.48,12.13,27.03,11.08
Hospital San José,H027,Colombia,Bogotá,Cundinamarca,0.07032181168057211,1,2024,1632,2.47,5.6,11.9,103,4.15,1.97,9.76,6.49,17.02,8.03
Hospital Sírio-Libanês,H014,Brazil,São Paulo,Southeast Brazil,0.0702263493905978,12,2025,1717,1.0,3.62,7.29,118,1.68,0.8,6.31,2.63,10.42,5.19
Hospital Base Valdivia,H021,Chile,Valdivia,Los Ríos Region,0.06987951807228916,11,2025,1235,2.39,5.85,13.51,78,4.01,1.91,10.2,6.28,19.32,8.39
Hospital Maciel,H005,Uruguay,Montevideo,Montevideo,0.06864064602960969,9,2025,756,2.8,5.7,13.84,51,4.7,2.23,9.94,7.35,19.79,8.17
Hospital San Juan de Dios,H018,Bolivia,La Paz,La Paz Department,0.06844106463878327,8,2024,780,3.86,7.4,17.59,46,6.48,3.08,12.9,10.13,25.15,10.61
Hospital Italiano,H006,Argentina,Buenos Aires,Buenos Aires Province,0.0703380588876772,10,2024,1837,1.76,4.71,10.79,135,2.95,1.4,8.21,4.62,15.43,6.75
Hospital Clínica Bíblica,H017,Costa Rica,San José,San José Province,0.06963249516441006,1,2024,1023,1.49,4.27,9.16,72,2.5,1.19,7.45,3.91,13.1,6.12
Hospital Universitario Fundación Santa Fe,H023,Colombia,Bogotá,Cundinamarca,0.06991869918699187,6,2024,1816,1.36,4.44,9.16,129,2.28,1.08,7.74,3.57,13.1,6.37
Hospital de Especialidades,H024,Ecuador,Guayaquil,Guayas Province,0.0701219512195122,11,2024,1364,3.39,6.63,16.43,97,5.69,2.7,11.56,8.9,23.49,9.51
Hospital Italiano,H006,Argentina,Buenos Aires,Buenos Aires Province,0.0703380588876772,1,2024,1882,1.91,4.71,10.48,135,3.21,1.52,8.21,5.01,14.99,6.75
Hospital General de Agudos,H020,Argentina,Buenos Aires,Buenos Aires Province,0.07003710575139147,9,2024,2138,2.02,5.4,12.44,149,3.39,1.61,9.42,5.3,17.79,7.74
Hospital Escuela Dr. Roberto Calderón,H028,Nicaragua,Managua,Managua Department,0.06699346405228758,1,2024,606,5.36,9.24,22.02,51,9.0,4.27,16.11,14.07,31.49,13.25
Hospital General de Agudos,H020,Argentina,Buenos Aires,Buenos Aires Province,0.07003710575139147,10,2024,2160,2.06,5.48,12.42,138,3.46,1.64,9.56,5.41,17.76,7.86
Hospital Universitario Fundación Santa Fe,H023,Colombia,Bogotá,Cundinamarca,0.06991869918699187,9,2024,1836,1.34,4.27,9.13,119,2.25,1.07,7.45,3.52,13.05,6.12
Hospital General de Agudos,H020,Argentina,Buenos Aires,Buenos Aires Province,0.07003710575139147,8,2024,2128,2.14,5.41,12.05,143,3.59,1.71,9.43,5.62,17.23,7.76
