hospital_id,hospital_name,country,city,region,month,year,total_admissions,heart_failure_cases,mortality_rate_30day,mortality_rate_90day,mortality_rate_inhospital,readmission_rate_30day,avg_length_of_stay_days,complication_rate,hf_mortality_rate,hf_readmission_rate,hf_avg_los
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,6,2024,1779.73,112.85,2.54,3.7,1.85,12.09,5.01,10.35,10.79,23.04,10.25
H016,Hospital CIMA,Costa Rica,San José,San José Province,3,2025,1489.74,101.46,4.11,4.85,1.64,15.93,5.48,7.0,5.38,23.25,8.01
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,1,2025,1748.59,71.28,2.92,3.62,1.94,12.75,8.18,13.94,7.85,18.58,5.44
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,9,2024,1004.36,110.5,3.33,2.98,1.86,16.05,6.4,5.85,6.43,22.63,6.33
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,9,2024,1541.15,104.38,3.5,5.49,2.3,8.53,3.93,8.48,11.37,19.01,7.54
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,7,2025,1354.44,83.5,3.81,5.55,0.61,9.97,4.97,8.05,8.73,16.36,8.34
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,3,2024,1613.37,125.84,2.28,5.28,2.5,13.35,5.9,9.41,6.38,23.48,9.4
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,11,2024,990.58,92.46,2.46,6.55,1.44,12.49,5.83,13.93,9.2,17.85,8.18
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,5,2024,1858.04,119.49,2.32,7.64,2.5,14.68,6.44,8.45,8.28,21.13,8.66
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,6,2025,1552.29,101.85,2.27,8.16,2.39,10.45,5.85,6.26,9.16,18.59,8.04
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,7,2025,1577.52,56.9,2.77,4.76,1.73,17.17,6.78,10.04,7.86,19.05,7.08
H024,Hospital de Especialidades,Ecuador,Guayaquil,Guayas Province,8,2024,1244.5,88.97,2.72,4.67,1.19,15.6,5.3,13.55,6.96,12.76,9.46
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,8,2025,1534.05,64.54,2.51,5.99,1.82,13.17,6.76,6.82,6.57,13.38,9.48
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,2,2025,1755.62,88.02,2.11,4.62,1.98,12.82,6.15,8.76,10.01,14.53,7.96
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,1,2024,1250.53,100.5,2.17,4.55,1.44,13.49,5.54,2.58,10.8,18.24,8.14
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,10,2025,1232.97,82.33,2.29,4.2,2.32,13.88,4.53,11.23,7.29,25.85,7.39
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,7,2025,1079.66,116.1,3.44,4.3,1.97,13.09,6.91,8.44,8.31,20.11,8.07
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,6,2024,1401.41,112.5,2.91,4.02,1.69,14.69,5.92,9.36,7.34,17.74,8.73
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,7,2024,1731.6,120.99,2.32,6.77,1.75,13.52,6.31,9.96,8.73,17.59,8.35
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,8,2024,1275.17,97.02,3.16,6.69,2.36,12.33,4.7,8.58,5.57,11.9,5.89
H007,Hospital Cayetano Heredia,Peru,Lima,Lima Region,2,2024,1801.09,106.74,2.47,4.36,1.6,13.6,7.19,10.42,8.86,20.49,7.34
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,11,2024,1496.94,70.56,3.37,4.43,2.08,12.62,5.97,11.48,5.04,19.33,8.42
H015,Fundación Cardioinfantil,Colombia,Bogotá,Cundinamarca,6,2024,1248.76,104.47,2.98,5.74,1.39,15.59,6.75,9.04,6.11,20.84,11.44
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,7,2024,1583.15,98.86,2.49,4.81,2.71,15.44,6.28,13.37,4.87,11.58,7.07
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,1,2025,1246.83,77.59,2.77,6.32,2.05,14.34,6.12,13.94,5.74,19.26,7.56
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,3,2025,1678.32,89.21,3.6,3.87,2.91,16.44,7.0,8.88,8.86,19.22,7.63
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,10,2025,1753.17,107.57,3.23,5.42,1.6,15.39,5.89,10.25,9.17,20.43,8.05
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,4,2024,1097.99,73.27,2.38,4.13,2.05,12.89,4.88,12.3,6.41,20.87,8.43
H008,Hospital México,Costa Rica,San José,San José Province,1,2025,1882.17,69.04,2.99,4.25,2.15,15.77,6.75,14.09,8.53,24.49,6.18
H026,Hospital Universitario de Neiva,Colombia,Neiva,Huila,2,2025,1465.04,99.59,2.43,5.15,1.78,13.15,6.12,8.79,6.13,17.81,8.61
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,5,2024,1514.35,85.69,2.44,5.87,1.72,9.7,6.56,9.41,9.01,20.2,7.37
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,2,2024,1402.58,83.61,2.88,4.83,2.56,13.82,5.1,12.03,6.1,20.64,9.78
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,4,2025,1473.27,74.76,1.64,4.99,2.46,10.95,6.02,8.5,5.85,13.98,7.81
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,4,2024,901.89,67.56,2.91,4.2,1.74,9.67,7.81,11.64,7.66,29.41,8.03
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,5,2025,1711.03,85.78,3.71,3.82,2.29,15.33,5.7,9.03,7.25,19.47,9.5
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2025,1418.57,59.62,2.98,2.73,1.45,10.39,5.5,15.48,5.8,6.31,6.87
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,8,2024,1624.6,101.81,3.48,3.59,1.67,15.72,6.67,8.72,5.91,23.11,9.72
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,2,2024,1143.55,124.63,3.14,3.87,2.02,13.18,6.39,9.02,7.7,22.94,8.26
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,3,2024,817.63,111.96,2.16,3.3,2.06,11.24,6.11,8.34,8.69,22.18,8.59
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,5,2025,1752.91,43.08,3.57,3.76,2.34,11.05,6.18,9.45,6.85,17.24,7.29
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,11,2025,1430.0,72.07,2.2,6.26,1.88,12.92,5.25,9.71,4.96,15.39,10.59
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,1,2025,1108.73,115.26,2.48,3.27,2.28,14.24,5.3,11.36,9.71,16.67,6.92
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,4,2025,1562.44,69.6,3.36,5.25,1.54,10.67,4.82,11.52,7.56,18.91,6.5
H005,Hospital Maciel,Uruguay,Montevideo,Montevideo,7,2024,1512.8,116.4,1.55,6.8,1.3,15.52,5.52,13.32,7.36,18.85,8.19
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,11,2024,1723.33,96.76,1.66,4.25,1.65,13.42,5.3,13.63,4.17,16.57,8.71
H025,Hospital Santo Tomás,Panama,Panama City,Panama Province,5,2025,1301.11,98.75,4.55,4.27,1.58,14.76,5.14,7.82,5.96,20.75,9.14
H006,Hospital Italiano,Argentina,Buenos Aires,Buenos Aires Province,7,2025,1094.98,93.2,2.87,4.32,1.18,13.96,6.44,12.5,7.93,18.35,7.43
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,11,2025,1789.3,67.79,1.98,4.61,2.59,11.81,3.57,5.76,7.91,23.88,6.1
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,4,2025,1375.6,106.8,2.39,2.8,2.07,14.38,6.01,9.63,6.34,23.03,8.24
H003,Clínica Alemana,Chile,Santiago,Metropolitan Santiago,3,2025,1420.99,111.75,3.5,3.94,1.56,14.92,5.63,5.98,6.5,22.6,9.03
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,7,2024,2058.09,103.13,2.73,5.35,2.64,9.49,5.31,13.28,4.9,26.56,9.87
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,9,2024,1702.9,94.11,1.94,3.05,2.16,17.04,5.7,9.68,6.51,18.63,7.14
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,9,2024,1461.92,61.72,2.13,3.57,2.48,10.28,5.79,10.0,6.8,22.84,6.88
H028,Hospital Escuela Dr. Roberto Calderón,Nicaragua,Managua,Managua Department,12,2025,471.35,97.41,3.62,3.34,3.02,13.89,6.15,10.26,5.53,16.12,10.08
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,8,2025,1641.53,100.15,2.2,2.68,1.61,10.33,4.99,9.77,7.56,18.31,7.18
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,6,2025,1698.62,96.45,2.29,3.76,2.2,11.27,7.31,12.21,8.72,16.56,8.83
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,5,2025,1081.95,122.41,2.71,3.29,2.65,14.16,6.75,9.17,3.21,14.35,7.67
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,5,2024,1145.7,68.73,1.26,6.72,1.9,14.4,5.23,13.97,7.92,21.56,8.45
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,4,2024,1408.75,95.27,2.42,3.96,2.49,13.56,5.92,12.93,8.12,18.88,7.94
H022,Hospital Clínico Universidad Católica,Chile,Santiago,Metropolitan Santiago,10,2025,1454.82,132.27,1.9,5.97,1.51,13.95,5.84,7.29,4.23,11.23,7.77
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,1,2025,1447.44,114.13,3.31,4.78,1.96,13.52,4.52,11.01,5.26,19.16,6.94
H018,Hospital San Juan de Dios,Bolivia,La Paz,La Paz Department,12,2025,1376.35,65.86,3.49,6.12,1.16,12.24,6.48,8.74,5.64,24.8,6.33
H010,Hospital Escuela,Honduras,Tegucigalpa,Francisco Morazán,8,2024,1846.6,83.11,2.91,4.0,2.73,16.06,6.96,13.12,6.72,14.9,7.71
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,1,2024,1449.43,85.57,2.71,4.08,2.33,12.71,5.15,8.83,6.45,16.31,8.64
H008,Hospital México,Costa Rica,San José,San José Province,6,2024,1629.22,118.23,2.35,6.45,1.61,10.4,5.21,6.65,5.39,19.78,8.82
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,5,2025,999.53,97.06,1.91,5.27,2.19,12.43,6.04,7.59,3.89,20.42,9.21
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,9,2024,1229.47,105.92,2.01,4.26,2.27,13.87,6.19,11.07,7.85,17.41,5.22
H028,Hospital Escuela Dr. Roberto Calderón,Nicaragua,Managua,Managua Department,11,2025,1937.11,99.79,3.23,5.06,2.44,10.45,5.04,10.96,6.54,20.53,6.99
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,4,2025,1515.44,108.79,3.28,3.96,2.51,13.14,5.58,10.22,6.86,23.17,8.76
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,10,2025,1592.53,110.8,1.77,2.97,2.81,14.38,6.23,7.8,6.98,27.69,9.86
H029,Hospital General de Zona No. 1,Mexico,Tijuana,Baja California,7,2024,1470.16,111.48,3.09,5.11,2.35,17.41,5.8,9.15,6.39,18.64,7.84
H021,Hospital Base Valdivia,Chile,Valdivia,Los Ríos Region,7,2024,1988.15,62.4,2.06,4.56,1.84,13.09,5.8,12.71,8.56,17.95,8.88
H002,Hospital Israelita Albert Einstein,Brazil,São Paulo,Southeast Brazil,1,2024,1545.17,110.9,2.28,3.75,3.14,9.84,6.73,9.29,7.61,18.61,6.25
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2024,1240.03,110.44,2.81,3.69,2.05,13.65,7.34,10.66,9.0,14.66,10.06
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,7,2024,1104.18,98.65,1.91,4.58,2.64,14.22,7.38,14.74,2.54,25.44,8.74
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,6,2024,1057.56,126.76,1.6,2.8,1.59,13.54,6.59,8.66,6.68,20.69,7.12
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,9,2024,1163.32,86.54,2.18,5.14,3.28,14.89,6.12,7.87,7.29,20.04,10.99
H016,Hospital CIMA,Costa Rica,San José,San José Province,1,2024,1416.16,72.03,2.37,2.91,1.95,14.4,7.01,2.82,4.55,19.72,8.41
H008,Hospital México,Costa Rica,San José,San José Province,1,2024,1054.87,127.68,1.71,3.0,1.78,11.95,5.95,7.64,8.65,17.95,8.18
H011,Hospital Universitario de Caracas,Venezuela,Caracas,Capital District,9,2025,1709.75,77.58,2.48,4.66,1.97,9.44,5.86,13.88,6.17,16.56,9.31
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,12,2024,1392.06,103.3,3.27,5.04,1.31,12.65,5.2,8.92,7.47,20.27,8.16
H030,Hospital Universitario San Ignacio,Colombia,Bogotá,Cundinamarca,11,2024,1603.2,107.76,2.12,4.55,1.83,12.38,6.38,6.41,8.84,13.65,8.67
H027,Hospital San José,Colombia,Bogotá,Cundinamarca,12,2024,1277.33,115.75,3.21,3.62,3.49,14.8,6.0,8.58,5.6,18.94,8.25
H014,Hospital Sírio-Libanês,Brazil,São Paulo,Southeast Brazil,12,2024,1470.42,64.65,2.63,3.93,3.39,10.81,6.39,6.55,10.93,23.61,8.14
H008,Hospital México,Costa Rica,San José,San José Province,3,2025,1276.78,96.75,3.0,2.86,2.21,19.07,5.28,12.9,5.75,20.11,7.27
H028,Hospital Escuela Dr. Roberto Calderón,Nicaragua,Managua,Managua Department,4,2025,1290.28,80.8,1.82,5.3,2.69,14.91,4.97,13.66,5.72,22.45,7.46
H023,Hospital Universitario Fundación Santa Fe,Colombia,Bogotá,Cundinamarca,12,2024,1256.82,98.03,2.21,5.27,1.43,15.38,6.85,14.64,7.8,12.52,6.25
H013,Hospital Privado Universitario,Argentina,Córdoba,Córdoba Province,8,2025,1418.41,98.47,1.51,2.76,1.83,9.97,7.26,11.03,8.43,19.34,5.77
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,1,2024,1332.84,88.6,3.84,6.17,2.45,12.42,6.12,7.03,7.79,20.55,8.42
H009,Hospital Roosevelt,Guatemala,Guatemala City,Guatemala Department,7,2025,1528.62,77.38,2.66,5.12,1.79,12.44,5.22,9.19,7.73,21.32,8.1
H012,Hospital das Clínicas,Brazil,São Paulo,Southeast Brazil,3,2025,1918.84,100.72,3.41,4.01,2.92,13.45,3.71,11.93,8.28,23.7,8.17
H020,Hospital General de Agudos,Argentina,Buenos Aires,Buenos Aires Province,11,2025,989.89,85.08,2.46,2.79,1.3,16.21,4.9,7.85,5.23,21.73,6.82
H019,Hospital del Salvador,Chile,Santiago,Metropolitan Santiago,7,2025,1456.03,107.03,3.24,4.68,3.06,15.68,5.44,6.3,6.85,20.6,8.43
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,3,2025,1436.83,121.83,3.63,4.75,1.88,13.33,7.46,10.6,7.36,17.43,7.08
H017,Hospital Clínica Bíblica,Costa Rica,San José,San José Province,2,2025,1635.59,109.23,2.9,4.33,2.22,15.51,4.8,10.27,6.69,20.98,6.94
H001,Hospital General de México,Mexico,Mexico City,Central Mexico,8,2025,1042.47,71.09,2.18,4.42,2.14,12.09,6.28,7.64,6.34,17.76,8.88
